# High E guitar string sampling at  4096 samples/sec
# time[s], waveform1, waveform2, waveform3, waveform4
4.9316e-02 -3.3200e+02 -1.0000e+01 4.0200e+02 9.6000e+01
4.9561e-02 -5.3500e+02 -2.1500e+02 1.1600e+02 1.2000e+02
4.9805e-02 -3.5500e+02 -2.7700e+02 -1.8600e+02 -6.9000e+01
5.0049e-02 -1.0800e+02 -1.4100e+02 4.0100e+02 9.0000e+00
5.0293e-02 1.3700e+02 -3.3000e+01 1.0200e+02 9.3000e+01
5.0537e-02 -5.0000e+00 -2.1200e+02 1.2000e+01 -7.7000e+01
5.0781e-02 1.2300e+02 -4.4600e+02 1.8400e+02 -2.0800e+02
5.1025e-02 4.6700e+02 -2.8900e+02 -3.2600e+02 -1.9000e+02
5.1270e-02 4.2200e+02 1.7400e+02 -2.3300e+02 -1.4100e+02
5.1514e-02 2.9000e+02 5.5200e+02 2.1600e+02 -1.2900e+02
5.1758e-02 6.3000e+01 4.9200e+02 -7.3000e+01 1.1200e+02
5.2002e-02 0.0000e+00 3.4900e+02 -4.2900e+02 2.5400e+02
5.2246e-02 -1.5000e+01 1.1700e+02 -7.7000e+01 5.4000e+01
5.2490e-02 -4.4900e+02 -6.4000e+01 4.4400e+02 1.3400e+02
5.2734e-02 -5.2400e+02 -2.7000e+02 -4.7000e+01 9.4000e+01
5.2979e-02 -3.3600e+02 -2.6300e+02 -9.1000e+01 -8.6000e+01
5.3223e-02 -6.0000e+01 -1.1400e+02 4.1800e+02 7.2000e+01
5.3467e-02 9.1000e+01 -5.3000e+01 1.0000e+00 6.1000e+01
5.3711e-02 -6.1000e+01 -3.1000e+02 8.4000e+01 -1.0500e+02
5.3955e-02 1.6800e+02 -4.6600e+02 1.1000e+02 -2.1600e+02
5.4199e-02 4.4300e+02 -2.4000e+02 -4.0000e+02 -1.5700e+02
5.4443e-02 3.5200e+02 2.6200e+02 -1.0200e+02 -1.3500e+02
5.4688e-02 2.1300e+02 5.3600e+02 2.1800e+02 -7.4000e+01
5.4932e-02 1.0000e+00 4.4600e+02 -1.9500e+02 1.8600e+02
5.5176e-02 3.0000e+00 2.9000e+02 -4.0200e+02 2.2800e+02
5.5420e-02 -8.9000e+01 6.3000e+01 1.0000e+02 4.3000e+01
5.5664e-02 -5.0300e+02 -1.1300e+02 4.2500e+02 1.4600e+02
5.5908e-02 -4.3500e+02 -3.0100e+02 -1.6700e+02 3.7000e+01
5.6152e-02 -2.3300e+02 -2.1600e+02 5.4000e+01 -1.0100e+02
5.6396e-02 5.8000e+01 -5.8000e+01 3.7400e+02 1.0300e+02
5.6641e-02 1.1900e+02 -4.0000e+01 -7.4000e+01 1.1000e+01
5.6885e-02 -5.0000e+00 -3.4900e+02 1.2700e+02 -1.3300e+02
5.7129e-02 2.9200e+02 -4.1300e+02 -3.5000e+01 -2.1500e+02
5.7373e-02 4.5300e+02 -1.2200e+02 -4.4200e+02 -1.3600e+02
5.7617e-02 3.1700e+02 3.9000e+02 6.0000e+00 -1.3800e+02
5.7861e-02 1.5900e+02 5.5000e+02 1.3100e+02 -2.6000e+01
5.8105e-02 -3.0000e+01 4.2900e+02 -3.4400e+02 2.3900e+02
5.8350e-02 -2.0000e+00 2.4400e+02 -3.6500e+02 1.8400e+02
5.8594e-02 -2.0800e+02 3.0000e+00 2.2100e+02 6.1000e+01
5.8838e-02 -5.7000e+02 -1.9400e+02 3.0800e+02 1.5800e+02
5.9082e-02 -4.0800e+02 -3.4600e+02 -2.5100e+02 -1.0000e+00
5.9326e-02 -2.0500e+02 -1.9900e+02 2.0600e+02 -7.3000e+01
5.9570e-02 6.8000e+01 -4.6000e+01 2.9500e+02 1.3000e+02
5.9814e-02 3.6000e+01 -7.6000e+01 -8.5000e+01 -2.2000e+01
6.0059e-02 -1.8000e+01 -3.9400e+02 1.8300e+02 -1.4900e+02
6.0303e-02 3.4200e+02 -3.6400e+02 -1.3800e+02 -1.9400e+02
6.0547e-02 4.1700e+02 -7.0000e+00 -3.5900e+02 -1.2800e+02
6.0791e-02 2.8500e+02 4.8100e+02 1.6300e+02 -1.3500e+02
6.1035e-02 1.2600e+02 5.3300e+02 7.1000e+01 2.6000e+01
6.1279e-02 -1.4000e+01 4.0100e+02 -3.8500e+02 2.6800e+02
6.1523e-02 2.3000e+01 2.0300e+02 -2.1400e+02 1.3100e+02
6.1768e-02 -2.7300e+02 -1.8000e+01 3.7900e+02 8.2000e+01
6.2012e-02 -5.3000e+02 -2.1400e+02 2.1200e+02 1.3300e+02
6.2256e-02 -3.0900e+02 -3.0600e+02 -2.1500e+02 -5.9000e+01
6.2500e-02 -1.0500e+02 -1.2100e+02 3.6200e+02 -3.9000e+01
6.2744e-02 1.2200e+02 1.3000e+01 1.9700e+02 1.0700e+02
6.2988e-02 1.4000e+01 -1.0300e+02 -5.4000e+01 -7.8000e+01
6.3232e-02 5.2000e+01 -4.0100e+02 1.7500e+02 -1.8200e+02
6.3477e-02 4.1600e+02 -2.8900e+02 -2.6300e+02 -1.8100e+02
6.3721e-02 3.8600e+02 1.0800e+02 -2.6400e+02 -1.2600e+02
6.3965e-02 2.3900e+02 5.2400e+02 2.3500e+02 -1.1200e+02
6.4209e-02 5.1000e+01 4.8700e+02 -5.1000e+01 9.3000e+01
6.4453e-02 -5.5000e+01 3.5000e+02 -4.1400e+02 2.7400e+02
6.4697e-02 -3.8000e+01 1.2100e+02 -7.1000e+01 8.6000e+01
6.4941e-02 -4.0100e+02 -9.9000e+01 4.3900e+02 1.1400e+02
6.5186e-02 -5.2200e+02 -3.0900e+02 4.7000e+01 1.1000e+02
6.5430e-02 -2.6300e+02 -3.4000e+02 -1.4500e+02 -9.2000e+01
6.5674e-02 -3.7000e+01 -1.4200e+02 4.3400e+02 2.4000e+01
6.5918e-02 1.3500e+02 -3.3000e+01 7.6000e+01 7.6000e+01
6.6162e-02 -1.1000e+01 -2.1500e+02 -9.0000e+00 -1.0700e+02
6.6406e-02 1.3800e+02 -4.3000e+02 1.1900e+02 -1.9300e+02
6.6650e-02 4.5800e+02 -2.2200e+02 -3.7200e+02 -1.5800e+02
6.6895e-02 3.5500e+02 2.2700e+02 -1.4700e+02 -1.2900e+02
6.7139e-02 2.0300e+02 5.6700e+02 2.2900e+02 -8.9000e+01
6.7383e-02 1.2000e+01 4.8300e+02 -2.0700e+02 1.4700e+02
6.7627e-02 -4.3000e+01 3.4200e+02 -4.1300e+02 2.4900e+02
6.7871e-02 -7.2000e+01 9.6000e+01 5.1000e+01 4.9000e+01
6.8115e-02 -4.6800e+02 -1.1900e+02 3.9300e+02 1.2200e+02
6.8359e-02 -4.4800e+02 -3.1700e+02 -1.4100e+02 5.6000e+01
6.8604e-02 -1.9800e+02 -2.6600e+02 -6.8000e+01 -1.2900e+02
6.8848e-02 2.9000e+01 -7.6000e+01 4.0100e+02 6.3000e+01
6.9092e-02 1.2500e+02 -1.7000e+01 -6.1000e+01 2.5000e+01
6.9336e-02 -3.2000e+01 -2.6700e+02 2.0000e+01 -1.3200e+02
6.9580e-02 2.0900e+02 -3.9200e+02 -4.0000e+00 -1.9200e+02
